Date;Seconds     ;Temperature (C)                         ;Specific Conductivity (µS/cm)           ;Total Dissolved Solids (ppt)            
27.06.2016 15:30;945000;24.256;839.152;0.545
27.06.2016 15:45;945900;24.247;837.607;0.544
27.06.2016 16:00;946800;24.284;836.502;0.544
27.06.2016 16:15;947700;24.29;824.179;0.536
27.06.2016 16:30;948600;24.275;829.138;0.539
27.06.2016 16:45;949500;24.31;846.932;0.551
27.06.2016 17:00;950400;24.31;851.359;0.553
27.06.2016 17:15;951300;24.303;823.392;0.535
27.06.2016 17:30;952200;24.321;833.972;0.542
27.06.2016 17:45;953100;24.325;832.439;0.541
27.06.2016 18:00;954000;24.299;835.326;0.543
27.06.2016 18:15;954900;24.292;834.392;0.542
27.06.2016 18:30;955800;24.259;835.817;0.543
27.06.2016 18:45;956700;24.259;834.29;0.542
27.06.2016 19:00;957600;24.261;834.166;0.542
27.06.2016 19:15;958500;24.256;835.669;0.543
27.06.2016 19:30;959400;24.218;831.807;0.541
27.06.2016 19:45;960300;24.199;831.913;0.541
27.06.2016 20:00;961200;24.225;831.413;0.54
27.06.2016 20:15;962100;24.241;828.659;0.539
27.06.2016 20:30;963000;24.217;830.181;0.54
27.06.2016 20:45;963900;24.161;829.112;0.539
27.06.2016 21:00;964800;24.128;831.316;0.54
27.06.2016 21:15;965700;24.107;830.359;0.54
27.06.2016 21:30;966600;24.121;830.158;0.54
27.06.2016 21:45;967500;24.151;829.655;0.539
27.06.2016 22:00;968400;24.126;830.328;0.54
27.06.2016 22:15;969300;24.107;827.26;0.538
27.06.2016 22:30;970200;24.065;823.108;0.535
27.06.2016 22:45;971100;24.024;836.078;0.543
27.06.2016 23:00;972000;24.018;835.813;0.543
27.06.2016 23:15;972900;23.994;831.273;0.54
27.06.2016 23:30;973800;24.009;836;0.543
27.06.2016 23:45;974700;23.976;834.085;0.542
28.06.2016 00:00;975600;23.956;835.69;0.543
28.06.2016 00:15;976500;23.946;833.218;0.542
28.06.2016 00:30;977400;23.934;821.937;0.534
28.06.2016 00:45;978300;23.917;826.393;0.537
28.06.2016 01:00;979200;23.898;827.191;0.538
28.06.2016 01:15;980100;23.887;830.179;0.54
28.06.2016 01:30;981000;23.853;825.352;0.536
28.06.2016 01:45;981900;23.801;835.157;0.543
28.06.2016 02:00;982800;23.757;835.061;0.543
28.06.2016 02:15;983700;23.722;833.21;0.542
28.06.2016 02:30;984600;23.696;830.349;0.54
28.06.2016 02:45;985500;23.691;823.794;0.535
28.06.2016 03:00;986400;23.668;823.565;0.535
28.06.2016 03:15;987300;23.648;832.365;0.541
28.06.2016 03:30;988200;23.64;829.767;0.539
28.06.2016 03:45;989100;23.628;826.735;0.537
28.06.2016 04:00;990000;23.604;818.375;0.532
28.06.2016 04:15;990900;23.601;842.606;0.548
28.06.2016 04:30;991800;23.573;803.513;0.522
28.06.2016 04:45;992700;23.543;822.007;0.534
28.06.2016 05:00;993600;23.541;821.687;0.534
28.06.2016 05:15;994500;23.532;814.444;0.529
28.06.2016 05:30;995400;23.511;819.246;0.533
28.06.2016 05:45;996300;23.493;806.943;0.525
28.06.2016 06:00;997200;23.497;818.099;0.532
28.06.2016 06:15;998100;23.482;816.467;0.531
28.06.2016 06:30;999000;23.491;838.187;0.545
28.06.2016 06:45;999900;23.477;825.22;0.536
28.06.2016 07:00;1000800;23.446;834.78;0.543
28.06.2016 07:15;1001700;23.441;831.064;0.54
28.06.2016 07:30;1002600;23.434;831.367;0.54
28.06.2016 07:45;1003500;23.425;827.587;0.538
28.06.2016 08:00;1004400;23.448;828.626;0.539
28.06.2016 08:15;1005300;23.437;828.376;0.538
28.06.2016 08:30;1006200;23.449;830.021;0.54
28.06.2016 08:45;1007100;23.433;824.55;0.536
28.06.2016 09:00;1008000;23.434;829.015;0.539
28.06.2016 09:15;1008900;23.477;826.014;0.537
28.06.2016 09:30;1009800;23.434;832.948;0.541
28.06.2016 09:45;1010700;23.45;826.46;0.537
28.06.2016 10:00;1011600;23.495;831.881;0.541
28.06.2016 10:15;1012500;23.546;830.005;0.54
28.06.2016 10:30;1013400;23.621;830.69;0.54
28.06.2016 10:45;1014300;23.689;830;0.539
28.06.2016 11:00;1015200;23.699;831.512;0.54
28.06.2016 11:15;1016100;23.665;834.151;0.542
28.06.2016 11:30;1017000;23.764;836.465;0.544
28.06.2016 11:45;1017900;23.731;842.067;0.547
28.06.2016 12:00;1018800;23.731;835.429;0.543
28.06.2016 12:15;1019700;23.78;838.077;0.545
28.06.2016 12:30;1020600;23.744;841.322;0.547
28.06.2016 12:45;1021500;23.765;833.268;0.542
28.06.2016 13:00;1022400;23.759;836.936;0.544
28.06.2016 13:15;1023300;23.799;834.458;0.542
28.06.2016 13:30;1024200;23.927;830.186;0.54
28.06.2016 13:45;1025100;23.902;829.355;0.539
28.06.2016 14:00;1026000;23.996;836.739;0.544
28.06.2016 14:15;1026900;23.927;838.754;0.545
28.06.2016 14:30;1027800;24.02;846.152;0.55
28.06.2016 14:45;1028700;23.989;837.36;0.544
28.06.2016 15:00;1029600;24.023;836.525;0.544
28.06.2016 15:15;1030500;24.086;834.689;0.543
28.06.2016 15:30;1031400;24.157;833.81;0.542
28.06.2016 15:45;1032300;24.114;832.264;0.541
28.06.2016 16:00;1033200;24.144;833.25;0.542
28.06.2016 16:15;1034100;24.134;832.527;0.541
28.06.2016 16:30;1035000;24.158;833.395;0.542
28.06.2016 16:45;1035900;24.194;832.647;0.541
28.06.2016 17:00;1036800;24.213;831.425;0.54
28.06.2016 17:15;1037700;24.214;831.235;0.54
28.06.2016 17:30;1038600;24.153;832.349;0.541
28.06.2016 17:45;1039500;24.169;833.484;0.542
28.06.2016 18:00;1040400;24.17;832.08;0.541
28.06.2016 18:15;1041300;24.17;830.627;0.54
28.06.2016 18:30;1042200;24.147;826.274;0.537
28.06.2016 18:45;1043100;24.179;822.485;0.535
28.06.2016 19:00;1044000;24.153;815.53;0.53
28.06.2016 19:15;1044900;24.149;820.835;0.534
28.06.2016 19:30;1045800;24.067;818.774;0.532
28.06.2016 19:45;1046700;24.076;820.366;0.533
28.06.2016 20:00;1047600;24.04;820.43;0.533
28.06.2016 20:15;1048500;24.016;821.018;0.534
28.06.2016 20:30;1049400;23.997;821.548;0.534
28.06.2016 20:45;1050300;24.019;816.905;0.531
28.06.2016 21:00;1051200;24.025;820.253;0.533
28.06.2016 21:15;1052100;24.022;820.364;0.533
28.06.2016 21:30;1053000;23.978;819.677;0.533
28.06.2016 21:45;1053900;23.94;821.83;0.534
28.06.2016 22:00;1054800;23.904;821.452;0.534
28.06.2016 22:15;1055700;23.874;823.07;0.535
28.06.2016 22:30;1056600;23.834;822.919;0.535
28.06.2016 22:45;1057500;23.824;832.588;0.541
28.06.2016 23:00;1058400;23.803;834.827;0.543
28.06.2016 23:15;1059300;23.78;839.367;0.546
28.06.2016 23:30;1060200;23.785;839.577;0.546
28.06.2016 23:45;1061100;23.757;839.957;0.546
29.06.2016 00:00;1062000;23.77;838.38;0.545
29.06.2016 00:15;1062900;23.731;840.618;0.546
29.06.2016 00:30;1063800;23.715;840.517;0.546
29.06.2016 00:45;1064700;23.689;819.67;0.533
29.06.2016 01:00;1065600;23.644;818.874;0.532
29.06.2016 01:15;1066500;23.652;824.588;0.536
29.06.2016 01:30;1067400;23.616;821.355;0.534
29.06.2016 01:45;1068300;23.598;825.72;0.537
29.06.2016 02:00;1069200;23.6;835.992;0.543
29.06.2016 02:15;1070100;23.6;826.779;0.537
29.06.2016 02:30;1071000;23.588;825.202;0.536
29.06.2016 02:45;1071900;23.541;833.143;0.542
29.06.2016 03:00;1072800;23.493;833.421;0.542
29.06.2016 03:15;1073700;23.463;843.385;0.548
29.06.2016 03:30;1074600;23.43;839.965;0.546
29.06.2016 03:45;1075500;23.38;833.839;0.542
29.06.2016 04:00;1076400;23.38;828.682;0.539
29.06.2016 04:15;1077300;23.357;834.698;0.543
29.06.2016 04:30;1078200;23.358;832.679;0.541
29.06.2016 04:45;1079100;23.338;826.916;0.537
29.06.2016 05:00;1080000;23.324;828.088;0.538
29.06.2016 05:15;1080900;23.292;834.313;0.542
29.06.2016 05:30;1081800;23.262;829.961;0.539
29.06.2016 05:45;1082700;23.249;829.679;0.539
29.06.2016 06:00;1083600;23.235;832.397;0.541
29.06.2016 06:15;1084500;23.2;831.851;0.541
29.06.2016 06:30;1085400;23.197;838.279;0.545
29.06.2016 06:45;1086300;23.192;837.362;0.544
29.06.2016 07:00;1087200;23.171;828.563;0.539
29.06.2016 07:15;1088100;23.155;843.151;0.548
29.06.2016 07:30;1089000;23.154;833.067;0.541
29.06.2016 07:45;1089900;23.161;821.906;0.534
29.06.2016 08:00;1090800;23.149;831.764;0.541
29.06.2016 08:15;1091700;23.148;836.133;0.543
29.06.2016 08:30;1092600;23.175;828.328;0.538
29.06.2016 08:45;1093500;23.188;828.583;0.539
29.06.2016 09:00;1094400;23.229;827.808;0.538
29.06.2016 09:15;1095300;23.262;822.301;0.534
29.06.2016 09:30;1096200;23.262;836.872;0.544
29.06.2016 09:45;1097100;23.269;835.284;0.543
29.06.2016 10:00;1098000;23.312;833.42;0.542
29.06.2016 10:15;1098900;23.317;825.104;0.536
29.06.2016 10:30;1099800;23.316;836.853;0.544
29.06.2016 10:45;1100700;23.335;830.567;0.54
29.06.2016 11:00;1101600;23.413;826.713;0.537
29.06.2016 11:15;1102500;23.331;834.23;0.542
29.06.2016 11:30;1103400;23.359;835.919;0.543
29.06.2016 11:45;1104300;23.349;834.063;0.542
29.06.2016 12:00;1105200;23.381;832.469;0.541
29.06.2016 12:15;1106100;23.388;813.824;0.529
29.06.2016 12:30;1107000;23.434;833.434;0.542
29.06.2016 12:45;1107900;23.462;832.27;0.541
29.06.2016 13:00;1108800;23.543;837.213;0.544
29.06.2016 13:15;1109700;23.691;833.339;0.542
29.06.2016 13:30;1110600;23.729;839.708;0.546
29.06.2016 13:45;1111500;23.716;838.413;0.545
29.06.2016 14:00;1112400;23.807;836.494;0.544
29.06.2016 14:15;1113300;23.77;827.49;0.538
29.06.2016 14:30;1114200;23.853;822.969;0.535
29.06.2016 14:45;1115100;23.867;824.531;0.536
29.06.2016 15:00;1116000;23.863;826.999;0.538
29.06.2016 15:15;1116900;23.77;821.024;0.534
29.06.2016 15:30;1117800;23.77;835.328;0.543
29.06.2016 15:45;1118700;23.732;829.688;0.539
29.06.2016 16:00;1119600;23.758;829.498;0.539
29.06.2016 16:15;1120500;23.812;822.879;0.535
29.06.2016 16:30;1121400;23.821;822.936;0.535
29.06.2016 16:45;1122300;23.832;830.991;0.54
29.06.2016 17:00;1123200;23.812;825.963;0.537
29.06.2016 17:15;1124100;23.813;823.087;0.535
29.06.2016 17:30;1125000;23.831;822.667;0.535
29.06.2016 17:45;1125900;23.844;821.359;0.534
29.06.2016 18:00;1126800;23.837;820.795;0.534
29.06.2016 18:15;1127700;23.829;826.046;0.537
29.06.2016 18:30;1128600;23.747;826.005;0.537
29.06.2016 18:45;1129500;23.751;827.366;0.538
29.06.2016 19:00;1130400;23.731;825.656;0.537
29.06.2016 19:15;1131300;23.739;826.611;0.537
29.06.2016 19:30;1132200;23.69;823.927;0.536
29.06.2016 19:45;1133100;23.699;827.967;0.538
29.06.2016 20:00;1134000;23.654;824.238;0.536
29.06.2016 20:15;1134900;23.619;820.33;0.533
29.06.2016 20:30;1135800;23.591;826.402;0.537
29.06.2016 20:45;1136700;23.583;826.042;0.537
29.06.2016 21:00;1137600;23.567;831.405;0.54
29.06.2016 21:15;1138500;23.573;826.728;0.537
29.06.2016 21:30;1139400;23.588;829.516;0.539
29.06.2016 21:45;1140300;23.572;826.346;0.537
29.06.2016 22:00;1141200;23.554;825.669;0.537
29.06.2016 22:15;1142100;23.513;827.15;0.538
29.06.2016 22:30;1143000;23.483;828.961;0.539
29.06.2016 22:45;1143900;23.446;826.913;0.537
29.06.2016 23:00;1144800;23.421;841.225;0.547
29.06.2016 23:15;1145700;23.416;836.651;0.544
29.06.2016 23:30;1146600;23.411;836.595;0.544
29.06.2016 23:45;1147500;23.403;839.216;0.545
30.06.2016 00:00;1148400;23.357;843.939;0.549
30.06.2016 00:15;1149300;23.35;839.8;0.546
30.06.2016 00:30;1150200;23.31;836.947;0.544
30.06.2016 00:45;1151100;23.302;837.871;0.545
30.06.2016 01:00;1152000;23.285;837.418;0.544
30.06.2016 01:15;1152900;23.248;839.617;0.546
30.06.2016 01:30;1153800;23.247;842.12;0.547
30.06.2016 01:45;1154700;23.201;835.651;0.543
30.06.2016 02:00;1155600;23.194;839.045;0.545
30.06.2016 02:15;1156500;23.196;838.333;0.545
30.06.2016 02:30;1157400;23.174;833.016;0.541
30.06.2016 02:45;1158300;23.152;836.717;0.544
30.06.2016 03:00;1159200;23.146;841.958;0.547
30.06.2016 03:15;1160100;23.149;840.917;0.547
30.06.2016 03:30;1161000;23.118;835.717;0.543
30.06.2016 03:45;1161900;23.115;826.953;0.538
30.06.2016 04:00;1162800;23.082;838.023;0.545
30.06.2016 04:15;1163700;23.056;830.563;0.54
30.06.2016 04:30;1164600;23.033;833.35;0.542
30.06.2016 04:45;1165500;23.027;814.461;0.529
30.06.2016 05:00;1166400;23;819.9;0.533
30.06.2016 05:15;1167300;23.004;832.236;0.541
30.06.2016 05:30;1168200;22.978;828.432;0.538
30.06.2016 05:45;1169100;22.963;832.107;0.541
30.06.2016 06:00;1170000;22.931;827.438;0.538
30.06.2016 06:15;1170900;22.927;824.978;0.536
30.06.2016 06:30;1171800;22.918;832.434;0.541
30.06.2016 06:45;1172700;22.889;819.435;0.533
30.06.2016 07:00;1173600;22.885;820.806;0.534
30.06.2016 07:15;1174500;22.888;825.709;0.537
30.06.2016 07:30;1175400;22.878;827.347;0.538
30.06.2016 07:45;1176300;22.882;825.444;0.537
30.06.2016 08:00;1177200;22.89;836.059;0.543
30.06.2016 08:15;1178100;22.918;826.115;0.537
30.06.2016 08:30;1179000;22.933;832.093;0.541
30.06.2016 08:45;1179900;22.996;821.875;0.534
30.06.2016 09:00;1180800;23.005;814.262;0.529
30.06.2016 09:15;1181700;23.012;819.56;0.533
30.06.2016 09:30;1182600;23.055;818.674;0.532
30.06.2016 09:45;1183500;23.082;817.27;0.531
30.06.2016 10:00;1184400;23.084;829.536;0.539
30.06.2016 10:15;1185300;23.108;830.045;0.54
30.06.2016 10:30;1186200;23.148;829.286;0.539
30.06.2016 10:45;1187100;23.176;828.345;0.538
30.06.2016 11:00;1188000;23.144;840.288;0.546
30.06.2016 11:15;1188900;23.185;835.086;0.543
30.06.2016 11:30;1189800;23.22;823.68;0.535
30.06.2016 11:45;1190700;23.207;840.029;0.546
30.06.2016 12:00;1191600;23.234;840.936;0.547
30.06.2016 12:15;1192500;23.222;833.398;0.542
30.06.2016 12:30;1193400;23.219;835.63;0.543
30.06.2016 12:45;1194300;23.263;841.544;0.547
30.06.2016 13:00;1195200;23.349;846.641;0.55
30.06.2016 13:15;1196100;23.326;835.795;0.543
30.06.2016 13:30;1197000;23.335;830.222;0.54
30.06.2016 13:45;1197900;23.314;829.148;0.539
30.06.2016 14:00;1198800;23.303;813.674;0.529
30.06.2016 14:15;1199700;23.299;828.876;0.539
30.06.2016 14:30;1200600;23.289;831.69;0.541
30.06.2016 14:45;1201500;23.34;828.631;0.539
30.06.2016 15:00;1202400;23.355;837.233;0.544
30.06.2016 15:15;1203300;23.324;817.658;0.531
30.06.2016 15:30;1204200;23.402;833.624;0.542
30.06.2016 15:45;1205100;23.391;852.882;0.554
30.06.2016 16:00;1206000;23.398;831.588;0.541
30.06.2016 16:15;1206900;23.43;828.219;0.538
30.06.2016 16:30;1207800;23.39;836.014;0.543
30.06.2016 16:45;1208700;23.386;826.965;0.538
30.06.2016 17:00;1209600;23.4;825.197;0.536
30.06.2016 17:45;1212300;23.451;838.835;0.545
30.06.2016 18:00;1213200;23.347;840.171;0.546
30.06.2016 18:15;1214100;23.373;839.137;0.545
30.06.2016 18:30;1215000;23.376;838.539;0.545
30.06.2016 18:45;1215900;23.379;837.662;0.544
30.06.2016 19:00;1216800;23.366;837.442;0.544
30.06.2016 19:15;1217700;23.335;837.358;0.544
30.06.2016 19:30;1218600;23.31;837.116;0.544
30.06.2016 19:45;1219500;23.334;836.474;0.544
30.06.2016 20:00;1220400;23.319;836.469;0.544
30.06.2016 20:15;1221300;23.328;836.199;0.544
30.06.2016 20:30;1222200;23.333;836.045;0.543
30.06.2016 20:45;1223100;23.324;836.305;0.544
30.06.2016 21:00;1224000;23.309;836.522;0.544
30.06.2016 21:15;1224900;23.289;836.803;0.544
30.06.2016 21:30;1225800;23.28;836.994;0.544
30.06.2016 21:45;1226700;23.27;837.158;0.544
30.06.2016 22:00;1227600;23.25;836.555;0.544
30.06.2016 22:15;1228500;23.256;835.535;0.543
30.06.2016 22:30;1229400;23.243;835.355;0.543
30.06.2016 22:45;1230300;23.247;835.382;0.543
30.06.2016 23:00;1231200;23.218;834.735;0.543
30.06.2016 23:15;1232100;23.217;829.849;0.539
30.06.2016 23:30;1233000;23.198;801.667;0.521
30.06.2016 23:45;1233900;23.179;797.05;0.518
01.07.2016 00:00;1234800;23.172;835.033;0.543
01.07.2016 00:15;1235700;23.176;834.974;0.543
01.07.2016 00:30;1236600;23.17;835.469;0.543
01.07.2016 00:45;1237500;23.169;835.7;0.543
01.07.2016 01:00;1238400;23.16;836.375;0.544
01.07.2016 01:15;1239300;23.143;836.73;0.544
01.07.2016 01:30;1240200;23.111;837.329;0.544
01.07.2016 01:45;1241100;23.065;838.354;0.545
01.07.2016 02:00;1242000;23.07;837.945;0.545
01.07.2016 02:15;1242900;23.066;838.157;0.545
01.07.2016 02:30;1243800;23.045;838.618;0.545
01.07.2016 02:45;1244700;23.005;838.556;0.545
01.07.2016 03:00;1245600;22.995;838.882;0.545
01.07.2016 03:15;1246500;22.983;838.17;0.545
01.07.2016 03:30;1247400;22.98;837.373;0.544
01.07.2016 03:45;1248300;22.973;837.387;0.544
01.07.2016 04:00;1249200;22.965;837.725;0.545
01.07.2016 04:15;1250100;22.958;835.831;0.543
01.07.2016 04:30;1251000;22.944;837.864;0.545
01.07.2016 04:45;1251900;22.923;836;0.543
01.07.2016 05:00;1252800;22.922;837.165;0.544
01.07.2016 05:15;1253700;22.902;836.852;0.544
01.07.2016 05:30;1254600;22.883;840.123;0.546
01.07.2016 05:45;1255500;22.892;840.283;0.546
01.07.2016 06:00;1256400;22.882;841.327;0.547
01.07.2016 06:15;1257300;22.849;838.714;0.545
01.07.2016 06:30;1258200;22.843;838.665;0.545
01.07.2016 06:45;1259100;22.862;838.751;0.545
01.07.2016 07:00;1260000;22.828;838.021;0.545
01.07.2016 07:15;1260900;22.795;840.648;0.546
01.07.2016 07:30;1261800;22.803;839.976;0.546
01.07.2016 07:45;1262700;22.817;837.946;0.545
01.07.2016 08:00;1263600;22.818;837.492;0.544
01.07.2016 08:15;1264500;22.867;837.816;0.545
01.07.2016 08:30;1265400;22.911;837.775;0.545
01.07.2016 08:45;1266300;22.956;838.308;0.545
01.07.2016 09:00;1267200;22.953;838.52;0.545
01.07.2016 09:15;1268100;22.989;838.401;0.545
01.07.2016 09:30;1269000;23.038;838.776;0.545
01.07.2016 09:45;1269900;23.04;839.714;0.546
01.07.2016 10:00;1270800;23.017;841.392;0.547
01.07.2016 10:15;1271700;23.011;842.058;0.547
01.07.2016 10:30;1272600;23.034;842.728;0.548
01.07.2016 10:45;1273500;23.119;837.863;0.545
01.07.2016 11:00;1274400;23.131;836.71;0.544
01.07.2016 11:15;1275300;23.206;840.69;0.546
01.07.2016 11:30;1276200;23.228;834.929;0.543
01.07.2016 11:45;1277100;23.256;837.164;0.544
01.07.2016 12:00;1278000;23.247;837.83;0.545
01.07.2016 12:15;1278900;23.25;842.981;0.548
01.07.2016 12:30;1279800;23.224;843.096;0.548
01.07.2016 12:45;1280700;23.258;837.344;0.544
01.07.2016 13:00;1281600;23.248;835.271;0.543
01.07.2016 13:15;1282500;23.333;840.796;0.547
01.07.2016 13:30;1283400;23.31;850.401;0.553
01.07.2016 13:45;1284300;23.35;835.093;0.543
01.07.2016 14:00;1285200;23.346;834.873;0.543
01.07.2016 14:15;1286100;23.376;834.02;0.542
01.07.2016 14:30;1287000;23.439;835.159;0.543
01.07.2016 14:45;1287900;23.456;836.153;0.543
01.07.2016 15:00;1288800;23.396;840.663;0.546
01.07.2016 15:15;1289700;23.396;837.861;0.545
01.07.2016 15:30;1290600;23.379;835.182;0.543
01.07.2016 15:45;1291500;23.379;833.361;0.542
01.07.2016 16:00;1292400;23.385;834.651;0.543
01.07.2016 16:15;1293300;23.415;836.111;0.543
01.07.2016 16:30;1294200;23.479;833.017;0.541
01.07.2016 16:45;1295100;23.473;833.554;0.542
01.07.2016 17:00;1296000;23.484;832.748;0.541
01.07.2016 17:15;1296900;23.509;831.461;0.54
01.07.2016 17:30;1297800;23.489;831.105;0.54
01.07.2016 17:45;1298700;23.491;832.061;0.541
01.07.2016 18:00;1299600;23.509;830.71;0.54
01.07.2016 18:15;1300500;23.494;831.339;0.54
01.07.2016 18:30;1301400;23.513;835.819;0.543
01.07.2016 18:45;1302300;23.492;827.794;0.538
01.07.2016 19:00;1303200;23.477;831.725;0.541
01.07.2016 19:15;1304100;23.457;833.203;0.542
01.07.2016 19:30;1305000;23.454;836.404;0.544
01.07.2016 19:45;1305900;23.449;833.272;0.542
01.07.2016 20:00;1306800;23.445;833.151;0.542
01.07.2016 20:15;1307700;23.435;835.436;0.543
01.07.2016 20:30;1308600;23.444;830.401;0.54
01.07.2016 20:45;1309500;23.438;830.466;0.54
01.07.2016 21:00;1310400;23.444;829.426;0.539
01.07.2016 21:15;1311300;23.441;832.01;0.541
01.07.2016 21:30;1312200;23.433;828.309;0.538
01.07.2016 21:45;1313100;23.406;834.197;0.542
01.07.2016 22:00;1314000;23.382;834.338;0.542
01.07.2016 22:15;1314900;23.372;831.643;0.541
01.07.2016 22:30;1315800;23.352;835.739;0.543
01.07.2016 22:45;1316700;23.368;836.746;0.544
01.07.2016 23:00;1317600;23.35;837.481;0.544
01.07.2016 23:15;1318500;23.358;837.979;0.545
01.07.2016 23:30;1319400;23.328;838.978;0.545
01.07.2016 23:45;1320300;23.337;838.231;0.545
02.07.2016 00:00;1321200;23.332;834.419;0.542
02.07.2016 00:15;1322100;23.32;842.191;0.547
02.07.2016 00:30;1323000;23.309;836.038;0.543
02.07.2016 00:45;1323900;23.257;824.913;0.536
02.07.2016 01:00;1324800;23.274;834.614;0.542
02.07.2016 01:15;1325700;23.253;829.689;0.539
02.07.2016 01:30;1326600;23.263;832.281;0.541
02.07.2016 01:45;1327500;23.211;843.152;0.548
02.07.2016 02:00;1328400;23.194;840.078;0.546
02.07.2016 02:15;1329300;23.204;837.205;0.544
02.07.2016 02:30;1330200;23.193;835.556;0.543
02.07.2016 02:45;1331100;23.173;835.839;0.543
02.07.2016 03:00;1332000;23.186;842.01;0.547
02.07.2016 03:15;1332900;23.171;840.534;0.546
02.07.2016 03:30;1333800;23.152;849.799;0.552
02.07.2016 03:45;1334700;23.129;848.476;0.552
02.07.2016 04:00;1335600;23.129;846.154;0.55
02.07.2016 04:15;1336500;23.085;841.987;0.547
02.07.2016 04:30;1337400;23.064;841.834;0.547
02.07.2016 04:45;1338300;23.03;837.647;0.544
02.07.2016 05:00;1339200;23.043;836.895;0.544
02.07.2016 05:15;1340100;23.031;835.039;0.543
02.07.2016 05:30;1341000;23.03;839.234;0.546
02.07.2016 05:45;1341900;23.028;843.919;0.549
02.07.2016 06:00;1342800;23.023;839.271;0.546
02.07.2016 06:15;1343700;23.026;831.113;0.54
02.07.2016 06:30;1344600;23.015;834.892;0.543
02.07.2016 06:45;1345500;23.004;843.708;0.548
02.07.2016 07:00;1346400;23.029;837.01;0.544
02.07.2016 07:15;1347300;23.037;833.663;0.542
02.07.2016 07:30;1348200;23.046;835.424;0.543
02.07.2016 07:45;1349100;23.038;837.958;0.545
02.07.2016 08:00;1350000;23.049;838.617;0.545
02.07.2016 08:15;1350900;23.055;838.463;0.545
02.07.2016 08:30;1351800;23.079;843.308;0.548
02.07.2016 08:45;1352700;23.094;837.65;0.544
02.07.2016 09:00;1353600;23.161;837.666;0.544
02.07.2016 09:15;1354500;23.179;840.677;0.546
02.07.2016 09:30;1355400;23.152;844.487;0.549
02.07.2016 09:45;1356300;23.147;845.578;0.55
02.07.2016 10:00;1357200;23.106;849.163;0.552
02.07.2016 10:15;1358100;23.096;845.254;0.549
02.07.2016 10:30;1359000;23.127;843.031;0.548
02.07.2016 10:45;1359900;23.143;845.716;0.55
02.07.2016 11:00;1360800;23.15;845.453;0.55
02.07.2016 11:15;1361700;23.118;843.85;0.549
02.07.2016 11:30;1362600;23.139;842.986;0.548
02.07.2016 11:45;1363500;23.164;848.396;0.551
02.07.2016 12:00;1364400;23.203;839.235;0.546
02.07.2016 12:15;1365300;23.177;839.925;0.546
02.07.2016 12:30;1366200;23.194;844.915;0.549
02.07.2016 12:45;1367100;23.164;839.109;0.545
02.07.2016 13:00;1368000;23.153;838.427;0.545
02.07.2016 13:15;1368900;23.172;832.627;0.541
02.07.2016 13:30;1369800;23.22;836.751;0.544
02.07.2016 13:45;1370700;23.213;831.122;0.54
02.07.2016 14:00;1371600;23.203;831;0.54
02.07.2016 14:15;1372500;23.213;839.952;0.546
02.07.2016 14:30;1373400;23.186;833.543;0.542
02.07.2016 14:45;1374300;23.131;839.105;0.545
02.07.2016 15:00;1375200;23.149;834.237;0.542
02.07.2016 15:15;1376100;23.186;834.827;0.543
02.07.2016 15:30;1377000;23.166;841.796;0.547
02.07.2016 15:45;1377900;23.157;839.332;0.546
02.07.2016 16:00;1378800;23.144;833.968;0.542
02.07.2016 16:15;1379700;23.132;835.759;0.543
02.07.2016 16:30;1380600;23.131;834.722;0.543
02.07.2016 16:45;1381500;23.111;834.34;0.542
02.07.2016 17:00;1382400;23.105;833.765;0.542
02.07.2016 17:15;1383300;23.09;852.398;0.554
02.07.2016 17:30;1384200;23.08;835.925;0.543
02.07.2016 17:45;1385100;23.041;817.475;0.531
02.07.2016 18:00;1386000;22.993;824.828;0.536
02.07.2016 18:15;1386900;23.008;847.95;0.551
02.07.2016 18:30;1387800;22.997;845.461;0.55
02.07.2016 18:45;1388700;22.961;838.615;0.545
02.07.2016 19:00;1389600;22.929;839.8;0.546
02.07.2016 19:15;1390500;22.93;851.507;0.553
02.07.2016 19:30;1391400;22.919;846.404;0.55
02.07.2016 19:45;1392300;22.935;844.867;0.549
02.07.2016 20:00;1393200;22.909;844.902;0.549
02.07.2016 20:15;1394100;22.911;847.654;0.551
02.07.2016 20:30;1395000;22.877;845.921;0.55
02.07.2016 20:45;1395900;22.865;845.685;0.55
02.07.2016 21:00;1396800;22.825;842.037;0.547
02.07.2016 21:15;1397700;22.835;843.17;0.548
02.07.2016 21:30;1398600;22.854;842.493;0.548
02.07.2016 21:45;1399500;22.819;840.142;0.546
02.07.2016 22:00;1400400;22.807;847.109;0.551
02.07.2016 22:15;1401300;22.798;846.341;0.55
02.07.2016 22:30;1402200;22.785;847.049;0.551
02.07.2016 22:45;1403100;22.831;847.394;0.551
02.07.2016 23:00;1404000;22.836;845.064;0.549
02.07.2016 23:15;1404900;22.798;845.573;0.55
02.07.2016 23:30;1405800;22.807;846.285;0.55
02.07.2016 23:45;1406700;22.779;847.556;0.551
03.07.2016 00:00;1407600;22.746;847.676;0.551
03.07.2016 00:15;1408500;22.701;847.829;0.551
03.07.2016 00:30;1409400;22.675;846.776;0.55
03.07.2016 00:45;1410300;22.659;847.311;0.551
03.07.2016 01:00;1411200;22.655;850.575;0.553
03.07.2016 01:15;1412100;22.68;851.066;0.553
03.07.2016 01:30;1413000;22.682;852.32;0.554
